,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
205,66,58,66,53,24,13,62,57,66,58,31,8,67,54,73,54,66,50,67,52,0,1,0,0,[]
206,66,56,66,56,26,14,61,60,61,62,30,8,66,53,66,58,71,41,72,42,0,1,0,0,[]
207,65,57,66,56,25,14,51,59,53,65,29,8,66,63,64,62,66,49,67,53,0,1,0,0,[]
208,65,57,66,56,18,14,46,51,42,55,27,10,68,66,70,68,55,48,58,55,0,1,0,0,[]
209,65,57,66,56,19,13,44,53,38,56,27,10,69,67,79,75,52,48,54,53,0,1,0,0,[]
210,65,57,66,56,21,12,43,53,38,56,29,11,67,68,80,85,51,50,52,49,0,1,0,0,[]
211,65,57,66,56,20,12,41,55,7,93,26,11,66,71,78,88,53,49,54,46,0,1,0,0,[]
212,65,57,4,93,23,8,39,57,15,85,29,9,66,69,76,89,57,43,58,42,0,1,0,0,[]
213,65,57,12,80,20,9,38,59,22,74,28,9,69,66,74,91,57,43,58,42,0,1,0,0,[]
214,65,57,16,68,23,10,42,65,30,65,27,9,69,66,74,90,90,7,94,7,0,1,0,0,[]
215,15,95,18,54,26,10,48,66,39,55,29,10,87,6,74,91,80,14,86,15,0,1,0,0,[]
216,28,94,24,40,20,13,50,65,45,53,34,8,75,13,73,91,72,25,77,24,0,1,0,1,[]
217,41,93,33,38,18,13,49,54,48,51,35,7,64,22,74,89,64,34,69,33,0,1,0,1,[]
218,57,92,35,38,19,13,46,49,48,42,29,9,54,32,79,87,57,43,59,40,0,1,0,1,[]
219,65,91,38,39,21,10,45,46,41,37,29,9,49,33,79,87,53,42,50,41,0,1,0,1,[]
220,72,90,26,33,11,12,43,45,36,36,29,9,47,34,89,5,49,40,49,39,0,1,0,1,[]
221,82,82,20,44,8,16,46,53,32,45,29,9,44,32,75,6,52,46,53,49,0,1,0,1,[]
222,89,74,15,44,8,16,44,54,42,52,95,5,41,24,55,7,50,49,50,48,0,1,0,1,[]
223,89,73,15,44,5,93,44,58,40,56,94,14,38,17,39,10,46,50,46,49,0,1,0,1,[]
224,87,71,23,54,8,86,42,59,41,56,93,28,29,19,23,13,45,46,40,45,0,1,0,1,[]
225,84,63,24,56,11,72,41,60,47,53,92,41,25,23,15,16,38,39,34,38,0,1,0,1,[]
226,84,57,19,52,9,61,2,96,49,50,92,52,23,34,9,26,47,40,35,38,0,1,0,1,[]
227,82,56,28,51,8,49,39,59,46,54,92,52,32,34,9,29,51,48,44,45,0,1,0,2,[]
228,87,64,31,52,7,39,45,56,45,57,81,49,41,39,8,31,48,49,48,50,0,1,0,2,[]
229,90,64,31,52,6,42,48,56,46,52,76,49,34,43,15,34,53,44,43,44,0,1,0,2,[]
230,83,66,31,52,11,49,46,69,43,55,85,52,41,45,23,37,43,39,39,44,0,1,0,2,[]
231,80,65,31,52,11,49,46,69,43,58,89,60,39,42,27,36,47,41,38,43,0,1,0,2,[]
232,83,64,32,50,8,45,49,61,42,54,86,53,42,46,45,52,47,50,44,48,0,1,0,2,[]
233,70,63,36,47,15,49,46,56,43,55,73,50,50,50,50,50,47,50,49,50,0,1,0,2,[]
234,57,61,33,43,26,50,42,55,42,58,57,50,50,52,48,50,47,51,47,52,0,1,0,2,[]
235,53,61,33,42,31,40,40,53,42,57,47,54,56,56,47,40,51,49,46,52,0,1,0,2,[]
236,52,64,31,35,22,28,43,52,44,54,53,53,53,54,47,42,57,45,51,49,0,1,0,2,[]
237,56,67,25,29,16,20,47,50,44,45,58,45,55,47,47,41,64,41,53,46,0,1,0,2,[]
238,64,76,26,22,19,15,47,50,43,45,61,38,56,42,53,42,55,45,54,46,0,1,0,2,[]
239,73,85,30,19,24,9,46,50,45,49,71,41,69,40,57,39,52,47,54,46,0,1,0,2,[]
240,83,84,29,21,28,8,46,53,45,52,79,52,68,41,57,39,51,49,53,48,0,2,0,2,[]
241,85,82,25,27,26,11,45,51,44,55,85,64,57,42,87,5,51,50,51,48,0,2,0,2,[]
242,83,81,35,24,34,22,49,52,45,47,89,76,47,37,67,7,58,44,55,44,0,2,0,2,[]
243,86,76,48,24,45,23,50,43,51,43,90,72,54,30,54,9,57,33,56,33,0,2,0,2,[]
244,89,66,47,24,44,23,48,34,47,33,90,61,52,27,52,9,57,33,55,30,0,2,0,2,[]
245,90,63,41,27,37,16,47,44,48,39,86,53,55,31,50,10,63,40,59,37,0,2,0,2,[]
246,89,68,43,24,35,12,47,49,49,49,90,62,50,24,44,12,63,40,57,43,0,2,0,2,[]
247,90,73,41,30,29,10,54,46,52,44,84,66,47,23,44,14,95,4,59,40,0,2,0,2,[]
248,85,64,45,23,32,16,53,47,53,45,88,62,53,21,42,14,59,40,60,41,0,2,0,2,[]
249,77,61,41,34,29,19,51,48,48,48,91,62,52,32,47,10,60,39,59,37,0,2,0,2,[]
250,78,72,28,36,29,19,47,58,41,51,90,57,54,32,48,8,60,39,59,38,0,2,0,2,[]
251,86,78,26,35,6,87,51,65,41,51,90,57,58,38,56,11,53,44,53,45,0,2,0,2,[]
