,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
207,53,62,58,60,55,63,64,81,57,69,35,38,81,23,80,21,63,50,60,50,27258,1,29194,2,[]
208,53,57,67,60,57,55,72,87,59,57,26,30,72,31,70,32,51,49,59,51,27389,1,29245,2,[]
209,52,60,66,60,51,56,79,82,50,54,18,20,63,41,61,43,48,47,59,51,27462,1,29465,2,[]
210,45,58,56,57,50,58,77,75,48,58,18,20,55,50,51,49,45,51,51,51,27518,1,29651,2,[]
211,36,62,56,63,51,63,77,75,39,62,10,23,54,53,55,52,44,52,50,52,27692,1,29797,2,[]
212,34,65,56,74,51,74,87,75,43,67,10,24,62,60,60,59,55,56,57,59,28009,1,30013,2,[]
213,32,71,45,71,51,75,84,83,43,67,8,26,57,68,72,63,65,62,65,63,28160,1,30064,2,[]
214,32,71,35,63,57,74,74,87,3,94,7,28,66,65,80,69,72,70,67,66,28212,1,30143,2,[]
215,4,95,29,52,52,76,74,87,10,84,7,28,68,62,83,66,68,63,71,63,28263,1,30724,2,[]
216,9,85,19,44,52,76,6,95,19,76,9,31,66,68,88,69,64,64,66,64,28318,1,30860,3,['17:57 RNGLangx(»ÄÄ®ÍÀ·ò) »÷ÆÆÁË·ÀÓùËþ']
217,18,77,11,37,4,91,6,95,28,69,11,26,66,68,84,78,57,57,63,62,28501,1,30981,3,[]
218,26,69,8,33,10,80,20,93,37,61,14,21,67,67,85,78,51,52,58,63,28594,1,31174,3,[]
219,35,62,6,38,16,69,32,92,37,61,14,21,68,64,87,69,55,50,54,63,28737,1,31225,3,['18:12 RNG »÷É±ÁËÍÁÁú']
220,37,58,8,35,18,56,44,91,45,54,95,4,73,65,87,69,55,50,57,56,28865,1,31405,3,[]
221,45,52,6,39,18,46,58,91,48,50,94,6,76,57,92,5,86,9,57,56,29081,1,31457,3,[]
222,47,49,6,39,18,45,59,85,43,46,92,21,82,56,89,6,80,20,87,9,29346,1,31507,3,[]
223,42,52,5,94,24,55,58,83,36,40,91,34,83,56,80,13,71,30,77,19,29503,1,31644,3,[]
224,34,60,12,83,23,56,60,85,29,36,90,49,83,56,67,19,61,38,67,29,29699,1,31758,3,[]
225,40,54,11,70,34,61,67,88,29,36,88,62,92,4,57,26,58,38,58,40,29750,1,31922,3,[]
226,40,57,17,62,45,67,80,86,6,89,88,75,79,12,49,35,53,28,54,45,29923,1,32004,3,[]
227,38,56,20,50,56,67,75,87,14,80,88,84,68,19,43,37,52,30,45,39,30004,1,32307,3,[]
228,42,56,24,39,60,72,66,79,24,73,87,79,58,26,34,35,47,37,38,42,30085,1,32509,3,[]
229,43,59,21,40,68,78,58,74,33,65,87,69,48,34,23,27,48,48,43,53,30197,1,32616,3,[]
