,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
213,89,73,82,78,9,53,47,55,51,53,11,34,87,19,93,63,54,41,86,28,28378,0,29911,2,[]
214,91,70,92,71,7,51,59,59,65,57,11,34,88,32,90,63,54,43,89,41,28516,0,30052,2,[]
215,87,74,87,76,10,50,53,58,63,57,93,7,89,45,93,69,49,49,88,56,28658,0,30152,2,[]
216,87,77,74,76,21,54,52,61,66,62,85,18,88,58,87,69,49,50,83,64,28731,0,30288,2,[]
217,86,79,67,78,34,59,47,56,59,63,87,31,80,66,87,72,59,42,77,61,28887,0,30422,2,[]
218,83,80,78,73,47,59,55,64,62,75,81,38,75,62,88,73,61,41,73,65,28966,0,30472,2,[]
219,83,78,76,72,58,70,62,75,74,74,78,51,79,74,89,76,95,4,78,71,29576,0,30566,2,[]
220,79,74,78,73,69,78,74,78,76,72,76,55,84,67,89,70,92,5,78,71,29658,0,30659,2,['18:17 BLGADD(暗裔剑魔) 击杀了 V5Max(深海泰坦)']
221,76,67,79,73,76,68,82,78,80,76,74,48,83,65,88,66,85,9,78,71,29710,0,30710,2,[]
222,68,63,73,67,70,66,87,78,79,74,65,52,83,57,88,66,77,19,78,71,29912,0,30764,2,[]
223,63,53,64,58,61,58,85,80,84,78,77,50,83,57,90,7,68,28,78,71,30034,0,30901,2,[]
224,52,49,54,51,51,52,77,77,74,73,83,61,85,65,83,20,60,38,78,71,30199,0,30967,2,[]
225,53,44,59,49,54,47,69,67,66,62,90,70,82,59,73,29,59,40,78,71,30251,0,31192,2,[]
226,50,47,65,57,53,53,61,61,66,54,90,69,75,46,62,42,59,36,86,9,30303,0,31276,2,[]
227,41,41,52,64,52,56,56,59,63,63,89,67,70,40,54,45,52,28,73,17,30354,0,31350,2,[]
228,33,38,45,63,45,50,47,53,56,67,83,65,69,40,52,46,52,29,61,24,30504,0,31705,2,[]
229,31,37,38,64,40,61,41,60,56,67,86,66,67,48,55,47,52,32,53,33,30746,0,31877,2,[]
230,23,31,26,59,41,57,42,67,5,92,84,79,76,49,64,51,53,32,48,32,30812,0,31990,2,[]
231,15,20,25,57,44,70,39,63,14,80,84,81,75,52,72,50,55,32,48,32,31048,0,32234,2,[]
