,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
184,31,59,46,65,40,66,34,68,41,58,61,60,61,58,51,44,33,37,35,41,0,0,0,1,[]
185,28,59,45,65,48,77,2,96,37,66,70,66,69,63,54,43,24,28,29,38,0,0,0,1,[]
186,19,52,45,65,58,85,8,93,37,66,80,75,75,58,50,47,17,19,23,30,0,0,0,1,[]
187,11,43,9,94,69,88,16,87,6,95,85,81,74,57,48,53,13,16,16,21,0,0,0,1,[]
188,6,36,24,90,79,85,23,78,17,90,87,82,72,53,61,50,8,19,12,23,0,0,0,1,[]
189,5,32,36,89,81,83,29,68,29,89,89,80,84,57,66,53,7,26,9,26,0,0,0,1,[]
190,5,35,49,88,82,84,32,65,42,88,88,80,82,56,64,62,7,23,9,22,0,0,0,1,[]
191,10,39,57,83,76,87,40,66,53,87,85,88,78,50,56,56,13,17,7,19,0,0,0,1,[]
192,18,51,60,82,74,87,41,58,65,83,79,88,72,42,47,54,10,19,8,19,0,0,0,1,[]
193,20,52,73,76,79,86,39,62,72,77,84,84,72,41,58,57,10,20,8,19,0,0,0,1,[]
194,11,46,91,73,87,79,39,65,89,76,93,75,62,37,68,64,7,24,8,25,0,0,0,1,[]
195,5,44,91,77,87,76,42,67,91,76,93,74,58,38,78,72,6,27,7,31,0,0,0,1,[]
196,5,46,84,85,82,87,39,63,87,85,93,74,50,35,76,71,6,27,7,31,0,0,0,1,[]
197,6,40,73,86,74,92,43,54,79,85,93,74,49,35,65,63,7,27,7,31,0,0,0,2,[]
198,14,48,73,76,74,92,45,52,78,75,93,74,42,42,53,54,9,31,10,34,0,0,0,2,[]
199,10,46,74,69,83,85,44,55,75,69,93,74,38,43,51,51,14,36,14,36,0,0,0,2,[]
200,7,51,76,62,85,84,42,58,76,58,93,74,29,50,46,49,8,41,11,45,0,0,0,2,[]
201,8,52,75,64,87,82,36,64,74,59,93,74,15,51,39,54,5,45,9,49,0,0,0,2,[]
202,6,56,79,75,88,81,27,66,77,70,95,10,9,53,38,58,7,52,5,51,0,0,0,2,[]
203,6,56,92,73,91,74,18,64,84,78,93,23,10,42,44,52,6,49,6,40,0,0,0,2,[]
204,6,56,92,71,90,72,9,59,90,71,92,37,18,45,40,59,7,53,5,46,0,0,0,2,[]
205,6,56,92,71,91,73,6,58,91,71,90,51,11,51,32,63,6,53,5,46,0,0,0,2,[]
206,6,56,90,71,92,73,5,62,91,77,87,62,9,57,32,63,6,53,94,4,0,1,0,2,[]
207,6,56,85,78,92,74,14,69,91,77,88,68,13,46,33,63,9,46,93,7,0,1,0,3,[]
208,6,56,84,78,90,81,25,70,7,94,90,59,14,43,36,59,9,39,87,17,0,1,0,3,[]
209,6,56,2,96,90,81,35,65,17,86,89,56,13,43,40,55,9,39,78,26,0,1,0,3,[]
210,4,89,7,93,4,94,38,60,24,77,87,54,93,4,47,50,94,4,70,33,0,1,0,3,[]
211,6,67,20,90,12,85,37,61,32,67,81,56,90,16,49,48,86,9,61,42,0,1,0,3,[]
212,8,48,32,89,24,82,38,64,37,61,78,51,83,28,49,48,80,21,51,49,0,1,0,3,[]
213,8,38,45,89,36,77,43,68,40,65,67,49,80,41,93,10,80,33,46,53,0,1,0,3,[]
214,11,36,56,85,47,79,46,73,47,73,52,50,77,54,84,19,82,47,57,56,0,1,0,3,[]
215,22,36,68,82,56,83,50,76,59,76,47,53,70,65,75,27,88,58,65,57,0,1,0,3,[]
