,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
196,93,74,46,64,9,53,28,73,35,74,76,12,83,26,90,49,83,26,46,36,0,1,0,2,['16:16 JDG »÷ÆÆÁË·ÀÓùËþ']
197,93,74,53,64,10,50,36,64,45,69,70,21,81,39,90,57,81,39,47,33,0,1,0,2,[]
198,12,95,57,59,6,42,43,58,55,62,65,33,80,53,91,69,80,53,41,32,0,1,0,2,[]
199,24,93,56,58,5,40,42,59,61,61,57,43,82,55,85,79,79,56,47,38,0,1,0,2,[]
200,37,92,68,62,5,40,43,58,67,61,49,49,74,57,83,83,76,60,54,46,0,1,0,2,[]
201,50,91,58,72,13,90,40,60,59,63,57,45,69,64,81,83,69,64,57,47,0,1,0,2,[]
202,62,90,56,80,26,85,44,69,58,67,53,44,75,59,74,77,75,59,52,46,0,1,0,2,[]
203,70,92,56,82,38,75,45,67,59,68,48,49,71,63,67,66,71,63,49,48,0,1,0,2,[]
204,69,81,56,80,51,68,40,61,58,69,50,48,63,60,63,61,63,58,49,49,0,1,0,2,[]
205,69,79,57,69,57,69,38,63,56,68,55,57,62,60,69,64,58,57,57,56,0,1,0,2,[]
206,73,74,55,67,62,75,35,66,58,68,63,60,68,65,72,65,68,65,66,62,0,1,0,2,[]
207,69,64,57,67,66,78,46,67,59,66,66,55,66,59,66,58,66,59,66,56,0,1,0,2,['17:13 TES »÷É±ÁË·çÁú']
208,75,72,53,66,57,68,43,67,52,64,56,50,53,62,54,64,53,62,58,50,0,1,0,2,[]
209,65,64,57,66,51,65,50,65,52,64,55,58,56,61,57,54,56,61,54,56,0,1,0,2,['17:21 TESKnight9(¹îÊõÑý¼§) »÷É±ÁË JDGLvMao(¹â»ÔÅ®ÀÉ)']
210,57,57,57,57,55,63,52,61,52,64,56,55,51,54,54,49,51,54,55,54,0,1,0,2,[]
211,57,64,62,62,56,63,52,64,52,64,53,57,57,63,48,55,57,63,57,56,0,1,0,2,[]
212,57,63,59,69,57,74,52,68,52,64,50,60,56,59,51,62,57,61,58,63,0,1,0,2,"['17:37 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGZoom(ÌúîøÚ¤»ê)', '17:40 TESKnight9(¹îÊõÑý¼§) »÷É±ÁË JDGimp(Æ¤³ÇÅ®¾¯)']"
213,57,63,73,74,45,79,52,68,7,94,41,58,56,68,56,63,67,69,67,69,0,1,0,2,[]
214,57,63,64,83,35,74,52,68,9,93,36,62,57,72,57,72,77,76,77,76,0,1,0,2,[]
215,57,63,55,84,30,68,52,68,17,84,32,61,50,79,55,81,79,85,79,85,0,1,0,2,[]
216,57,63,54,83,28,69,52,68,25,76,30,48,50,80,61,85,73,87,73,88,0,1,0,2,['17:57 TESAKi(µÂÂêÎ÷ÑÇ»Ê×Ó) »÷É±ÁË JDGFlawless(Ðé¿Õ¶ÝµØÊÞ)']
217,57,63,54,83,30,65,52,68,31,68,28,34,54,76,67,84,70,89,68,89,0,1,0,2,[]
218,57,63,54,83,31,66,52,68,37,61,27,21,54,76,67,84,72,90,73,93,0,1,0,3,['18:10 TESQiuQiu(Ä§·¨Ã¨ßä) »÷ÆÆÁË·ÀÓùËþ']
219,57,63,54,83,28,60,13,90,39,53,22,11,61,77,95,4,74,93,74,93,0,1,0,3,[]
220,13,95,54,83,30,58,19,80,32,45,18,18,70,79,91,6,95,4,94,4,0,1,0,3,[]
221,26,94,54,83,30,57,29,72,32,42,12,25,70,79,80,17,95,4,88,5,0,1,0,3,[]
222,38,93,54,83,32,41,35,62,31,38,8,32,90,6,79,16,86,10,75,13,0,1,0,3,[]
223,51,91,8,84,27,37,43,55,31,48,9,23,81,12,75,26,75,26,64,21,0,1,0,3,[]
224,63,90,14,72,17,49,34,59,20,49,9,17,67,19,67,37,67,37,52,27,0,1,0,3,[]
225,69,91,18,58,7,48,33,59,17,51,9,17,55,22,67,54,67,54,48,34,0,1,0,3,[]
226,69,89,17,46,9,48,38,65,16,53,93,15,42,24,57,63,57,63,49,47,0,1,0,3,[]
227,70,84,20,49,6,44,32,63,2,96,92,30,48,20,45,66,45,67,46,53,0,1,0,3,[]
228,70,84,30,56,5,45,35,64,13,90,90,46,43,24,47,72,47,72,54,58,0,1,0,3,[]
