,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
229,25,69,2,96,32,66,54,85,37,61,48,9,56,41,86,23,47,40,47,41,0,2,0,1,[]
230,34,60,14,90,40,60,62,83,42,58,39,14,95,4,77,29,52,45,93,6,0,2,0,1,[]
231,44,51,25,85,49,53,65,82,52,55,35,10,91,12,80,36,53,45,87,9,0,2,0,1,[]
232,52,46,34,77,58,47,71,78,57,55,36,11,85,22,80,49,60,38,81,17,0,2,0,1,[]
233,43,43,45,66,54,47,81,82,66,55,47,17,74,28,80,52,58,39,75,26,0,3,0,1,[]
234,38,41,52,65,54,48,80,78,66,57,53,28,66,36,78,50,58,39,67,34,0,3,0,1,[]
235,28,33,62,63,59,56,81,79,65,56,54,31,73,43,80,51,61,39,61,40,0,3,0,1,[]
236,19,22,65,60,55,53,83,79,68,61,54,31,73,42,88,50,62,37,62,37,0,3,0,1,[]
237,17,15,64,57,51,52,79,75,56,54,48,25,74,43,93,54,56,42,57,44,0,3,0,1,[]
238,21,22,64,57,50,51,70,66,57,54,46,14,77,52,93,54,59,39,63,41,0,3,0,1,[]
239,28,32,66,55,53,47,65,57,57,55,43,17,77,52,92,55,64,40,67,44,0,3,0,1,[]
240,38,41,68,61,53,49,67,61,56,54,42,17,72,42,85,50,66,41,62,41,0,3,0,1,[]
241,46,45,73,65,59,61,77,72,62,59,39,15,60,35,80,41,57,40,58,40,0,3,0,1,[]
242,39,40,69,64,65,64,81,81,64,57,35,10,51,34,80,37,59,40,53,41,0,3,0,1,[]
243,40,42,76,59,56,56,83,78,64,57,35,9,55,44,90,45,56,44,53,45,0,3,0,1,[]
244,43,44,76,49,55,56,75,68,60,56,37,9,57,39,93,54,55,41,49,43,0,3,0,1,[]
245,50,47,67,49,52,52,69,68,57,55,36,11,55,32,91,51,61,39,59,40,0,3,0,1,[]
246,47,46,66,57,56,53,68,67,2,96,31,12,65,35,91,49,58,40,58,40,0,3,0,1,[]
247,56,56,66,68,57,54,69,68,6,90,22,13,69,35,91,56,62,37,62,37,0,3,0,1,[]
248,66,64,62,64,2,96,60,63,15,76,14,17,58,33,91,50,61,36,60,39,0,3,0,1,[]
249,81,65,49,59,6,77,48,69,27,68,24,11,49,25,91,50,60,37,59,35,0,3,0,1,[]
250,88,70,37,59,19,73,44,71,31,55,28,9,37,25,82,4,59,37,49,32,0,3,0,1,[]
