,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
193,48,58,73,71,71,68,88,69,73,71,62,52,95,4,63,52,81,68,88,20,0,0,0,1,['16:5 TESAKi(解脱者) 击杀了 SNWeiwei(死亡颂唱者)']
194,43,54,73,71,69,78,90,73,73,75,71,50,81,10,52,49,81,68,75,27,0,1,0,1,['16:8 SNSmlz(圣枪游侠) 击破了防御塔']
195,41,54,73,71,69,78,79,78,2,96,82,50,70,16,47,50,81,68,66,36,0,1,0,1,[]
196,36,58,73,71,2,96,79,77,12,90,91,55,61,24,48,50,81,68,60,44,0,1,0,1,[]
197,41,57,73,71,8,86,83,78,19,79,91,63,52,32,48,51,81,68,66,51,0,1,0,1,[]
198,42,53,73,71,18,77,86,78,29,69,91,66,41,36,47,51,92,6,67,58,0,1,0,1,[]
199,40,58,73,71,28,69,84,81,40,60,90,65,34,42,44,52,84,13,62,62,0,1,0,1,[]
200,39,59,5,90,32,59,82,82,42,58,90,68,39,42,44,44,75,21,56,56,0,1,0,1,[]
201,38,59,10,79,42,54,81,82,45,57,91,67,49,46,51,52,67,29,50,52,0,1,0,1,[]
202,4,95,17,68,44,56,4,96,50,59,90,60,59,50,52,51,59,37,49,50,0,1,0,1,[]
203,6,93,18,56,43,54,8,95,44,57,89,65,59,49,48,50,54,44,48,49,0,1,0,1,[]
204,10,85,18,45,40,57,17,85,39,59,88,70,50,48,46,51,52,49,48,55,0,1,0,1,[]
205,22,81,21,51,42,55,23,74,41,58,86,79,45,38,51,44,51,45,55,50,0,1,0,1,[]
206,27,73,26,59,39,63,32,66,43,56,85,79,41,25,43,34,56,44,59,50,0,1,0,1,[]
207,37,66,38,62,47,73,40,57,49,60,87,72,43,18,34,24,56,41,95,4,0,1,0,1,[]
208,42,69,45,67,51,83,44,55,45,54,87,72,44,17,25,14,56,41,91,14,0,1,0,1,[]
209,39,66,53,66,60,91,48,52,44,50,93,8,48,19,19,13,54,43,81,22,0,1,0,1,[]
210,50,66,61,62,71,88,50,51,43,46,86,18,42,23,17,14,56,44,72,31,0,1,0,1,[]
211,56,67,66,53,81,84,50,51,49,51,76,26,30,22,13,17,56,42,62,39,0,1,0,1,[]
212,48,67,62,51,81,83,56,50,54,49,68,35,22,29,11,14,60,40,57,41,0,1,0,1,[]
213,35,65,61,57,80,81,49,55,53,54,68,40,24,36,11,14,53,43,56,46,0,1,0,1,[]
214,23,65,60,62,86,76,47,52,50,53,78,47,37,36,91,5,57,42,54,42,0,1,0,1,[]
215,11,62,69,66,89,65,48,51,56,56,88,54,51,34,85,9,56,43,53,42,0,1,0,1,[]
216,6,52,71,76,88,69,46,54,54,58,92,58,49,35,83,31,51,45,51,46,0,1,0,1,[]
217,5,51,62,82,88,72,41,59,54,58,92,62,45,39,67,37,53,45,50,49,0,1,0,1,[]
218,8,43,57,83,77,79,38,63,5,96,91,61,37,37,51,41,50,44,49,48,0,1,0,1,[]
219,5,39,55,83,66,77,39,59,13,88,91,61,26,32,37,39,46,40,41,43,0,1,0,1,[]
220,7,43,55,82,73,77,39,52,22,79,87,62,15,34,25,37,50,44,45,46,0,1,0,1,[]
221,5,46,55,82,77,75,43,55,33,69,78,63,18,34,38,42,49,43,55,47,0,1,0,1,[]
222,5,46,5,88,77,84,43,55,39,59,67,63,31,39,43,48,50,45,54,50,0,1,0,1,[]
223,12,47,14,80,81,85,42,56,39,52,59,60,37,43,45,49,48,49,54,56,0,1,0,1,[]
224,24,50,24,71,82,82,40,58,37,56,48,55,44,51,41,51,44,54,46,55,0,1,0,1,[]
225,36,49,34,63,82,80,36,58,36,59,43,55,44,56,42,52,44,53,44,54,0,1,0,1,[]
226,35,49,44,58,73,71,40,58,42,59,50,50,51,53,43,42,48,50,49,52,0,1,0,1,[]
227,46,51,49,55,64,61,48,56,47,57,51,48,55,53,45,36,51,46,53,50,0,1,0,1,[]
228,50,54,49,58,55,53,49,53,54,53,53,47,55,49,49,46,50,46,53,48,0,1,0,1,[]
229,49,50,48,55,56,54,50,53,50,54,59,44,58,47,53,43,55,42,55,45,0,1,0,1,['19:3 SNWeiwei(死亡颂唱者) 击杀了 TESAKi(解脱者)']
230,61,58,41,45,65,56,45,50,50,54,56,49,58,47,51,42,58,40,57,46,0,1,0,1,[]
231,70,50,33,39,58,56,42,51,43,49,59,50,58,47,42,36,51,45,55,43,0,1,0,1,[]
232,83,50,31,38,48,51,39,49,40,43,61,43,58,47,47,42,51,45,53,46,0,1,0,1,[]
233,88,49,30,35,50,53,47,51,43,45,73,42,58,47,52,44,55,46,55,47,0,1,0,1,[]
234,93,47,21,24,51,53,48,52,45,53,83,50,58,47,52,44,54,48,56,48,0,1,0,1,[]
235,93,58,21,14,51,53,49,52,46,46,90,54,58,47,53,46,57,44,59,46,0,1,0,1,[]
