,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
175,13,21,32,80,92,62,42,55,2,96,19,18,93,8,90,48,47,49,81,18,0,1,0,0,[]
176,14,16,41,71,89,71,44,55,44,55,19,13,86,23,92,53,54,50,72,30,0,1,0,0,[]
177,13,16,52,65,81,77,51,51,50,52,18,13,81,35,90,50,66,52,67,43,0,1,0,0,[]
178,14,16,62,61,73,68,54,55,58,55,20,9,80,48,89,51,66,56,66,55,0,1,0,0,[]
179,12,24,66,60,69,64,65,56,56,54,19,13,77,51,90,54,69,48,66,47,0,1,0,0,[]
180,15,36,67,64,71,67,64,58,51,52,26,12,79,50,86,52,65,50,66,50,0,1,0,0,[]
181,14,41,65,57,63,63,59,56,51,53,38,15,68,50,75,49,53,47,57,47,0,1,0,0,[]
182,14,41,64,52,65,56,66,52,57,54,40,17,66,46,73,49,53,44,55,46,0,1,0,0,[]
183,11,34,64,52,65,56,66,56,56,53,42,24,66,45,67,46,50,45,55,47,0,1,0,0,[]
184,22,38,59,56,65,61,55,57,56,56,45,35,66,50,61,50,53,47,52,49,0,1,0,0,[]
185,31,40,55,55,54,55,52,55,54,57,53,47,56,50,55,48,50,49,54,50,0,1,0,0,[]
186,43,46,55,53,49,49,55,51,54,53,54,46,56,48,59,48,54,44,51,51,0,1,0,0,['15:30 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGKanavi(¾ÆÍ°)']
187,52,45,56,48,55,48,56,48,55,48,61,41,56,48,58,40,59,40,51,50,0,1,0,0,['15:31 TESKnight9(µ¶·æÎèÕß) »÷É±ÁË JDGLvMao(Éîº£Ì©Ì¹)']
188,58,42,61,42,58,44,60,43,57,45,65,39,56,48,64,36,65,35,51,50,0,1,0,0,[]
189,57,42,61,49,60,48,60,43,57,45,62,36,56,48,65,38,64,36,51,50,0,2,0,0,['15:45 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ']
190,48,46,66,59,66,58,55,50,57,55,61,38,56,48,61,37,60,37,51,50,0,2,0,0,[]
191,37,39,65,68,65,70,54,45,54,48,51,27,56,48,59,34,60,38,91,10,0,2,0,0,[]
192,25,29,65,69,67,69,50,48,55,54,41,15,92,5,48,35,57,43,76,19,0,2,0,0,[]
193,19,19,65,71,67,69,45,54,55,57,28,12,80,12,39,29,55,41,62,23,0,2,0,0,[]
194,14,17,64,71,76,73,45,54,2,96,20,14,68,19,27,24,58,35,50,35,0,2,0,0,['16:7 TES »÷É±ÁËÍÁÁú']
195,11,28,64,71,88,77,5,94,11,91,18,15,56,29,18,24,58,35,35,39,0,2,0,0,[]
196,15,39,9,92,87,78,13,89,20,82,15,22,45,36,18,24,94,4,27,50,0,2,0,0,[]
197,17,50,23,84,87,78,19,78,29,73,22,32,33,43,94,11,90,7,23,51,0,2,0,0,[]
198,9,41,34,78,3,95,26,68,38,64,18,24,40,39,92,26,84,14,31,52,0,2,0,0,[]
199,9,41,32,65,4,82,31,58,35,59,11,21,52,35,89,41,76,25,37,39,0,2,0,0,[]
200,5,96,25,56,5,68,28,51,44,54,13,21,54,32,84,51,67,35,44,45,0,2,0,0,[]
201,12,94,22,54,6,55,38,48,49,51,19,16,65,38,76,58,57,44,58,42,0,2,0,0,[]
202,26,93,29,49,6,42,32,50,51,63,19,16,75,44,81,66,54,46,55,45,0,2,0,0,[]
203,39,91,32,44,6,27,31,52,45,67,93,10,77,47,90,70,56,43,62,39,0,2,0,0,[]
204,52,88,32,45,14,22,35,47,43,69,78,10,83,56,87,73,56,47,62,39,0,2,0,0,[]
205,57,83,31,39,19,25,43,51,41,59,64,9,81,55,85,81,57,43,91,7,0,2,0,0,[]
206,59,84,25,28,16,18,48,53,44,52,49,9,70,50,84,78,56,46,85,20,0,2,0,0,[]
207,59,85,28,21,17,11,43,46,43,46,36,10,65,61,74,69,60,49,79,33,0,2,0,0,[]
208,70,91,30,10,28,9,41,33,40,37,30,8,62,63,72,71,54,54,79,49,0,2,0,0,[]
209,69,94,34,11,27,10,41,34,32,46,28,8,72,70,80,83,52,53,74,63,0,2,0,0,[]
210,66,94,33,17,24,14,39,42,42,52,40,6,68,82,75,89,51,53,71,77,0,2,0,0,[]
211,64,94,31,22,20,11,44,52,43,54,42,6,63,91,74,88,52,51,62,87,0,2,0,0,[]
212,72,92,40,30,22,11,55,54,52,53,42,7,62,88,72,85,59,56,62,91,0,2,0,0,[]
213,71,93,48,41,27,8,63,61,62,59,42,6,69,82,70,83,66,61,62,84,0,2,0,0,[]
214,69,94,50,52,28,9,57,57,51,55,45,6,72,70,75,74,67,63,72,77,0,2,0,0,['17:46 TESLokeN(»úÐµÏÈÇý) »÷É±ÁË JDGimp(¸´³ðÖ®Ã¬)']
215,70,94,53,49,36,13,54,48,52,49,47,11,67,60,68,64,67,63,65,70,0,3,0,0,['17:52 TES »÷ÆÆÁË·ÀÓùËþ']
216,74,91,47,38,36,9,57,41,56,42,52,11,66,47,67,49,67,63,65,71,0,3,0,0,[]
217,83,85,40,27,44,7,55,32,57,33,49,6,65,36,65,39,67,63,94,4,0,3,0,0,[]
218,82,84,42,18,51,9,48,23,44,32,58,8,65,30,63,37,67,63,80,9,0,3,0,0,[]
219,83,81,41,17,46,14,45,23,42,38,50,9,64,21,66,27,67,63,65,9,0,3,0,0,[]
220,87,69,42,19,43,24,43,24,41,30,51,8,62,24,63,34,67,63,62,23,0,3,0,0,[]
