,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
214,6,38,89,73,91,71,32,59,87,73,93,67,75,44,60,39,93,20,75,60,0,1,0,3,[]
215,5,39,82,83,91,76,30,60,80,83,93,67,72,49,60,39,92,34,73,69,0,2,0,3,['17:53 FPXDoinb(°µÒá½£Ä§) »÷ÆÆÁË·ÀÓùËþ']
216,9,27,79,85,90,81,37,59,79,84,93,67,63,58,91,12,91,47,60,63,0,2,0,3,[]
217,14,16,79,85,90,81,46,52,3,95,93,67,56,57,80,23,89,59,55,58,0,2,0,3,[]
218,17,11,7,94,13,94,46,53,12,83,83,6,47,52,69,33,88,70,49,53,0,2,0,3,[]
219,17,9,14,89,28,93,39,55,23,72,71,7,54,52,60,44,88,73,54,53,0,2,0,3,[]
220,17,9,24,81,42,92,35,60,34,63,58,8,63,62,56,56,79,75,55,59,0,2,0,3,[]
221,7,93,36,76,56,91,35,60,48,67,47,9,68,63,53,54,72,66,58,61,0,2,0,3,[]
222,16,83,48,77,68,90,8,94,45,72,46,13,67,67,50,53,70,68,56,60,0,2,0,3,[]
223,24,73,46,71,71,82,17,86,47,67,44,23,67,67,48,54,65,64,55,63,0,2,0,3,['18:34 LGD »÷É±ÁËË®Áú']
224,33,64,43,68,74,88,24,76,40,69,41,35,56,60,44,55,54,58,54,62,0,2,0,3,[]
225,37,61,42,67,60,86,32,66,41,67,42,46,46,57,42,54,42,55,43,59,0,2,0,3,[]
226,39,60,39,61,50,75,39,61,39,61,48,52,46,51,47,56,43,53,47,53,0,2,0,3,[]
227,37,56,40,62,40,65,39,60,39,59,45,52,46,50,47,53,46,54,45,53,0,2,0,3,[]
228,39,60,39,62,31,57,36,58,39,59,42,53,45,52,45,55,45,55,41,53,0,2,0,3,[]
229,38,58,40,61,37,50,37,57,39,61,45,52,47,53,46,54,45,57,49,54,0,2,0,3,[]
230,33,59,41,65,32,44,38,62,39,65,51,43,48,42,54,54,57,60,53,57,0,2,0,3,[]
