,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
202,48,35,69,65,49,52,74,73,77,75,16,17,64,53,53,49,77,56,77,56,28343,1,28499,0,[]
203,40,36,63,62,55,57,71,68,72,65,10,22,56,50,63,52,71,50,71,50,28486,1,28550,0,[]
204,28,37,55,57,53,56,62,60,62,58,7,18,53,48,56,49,60,50,63,52,28538,1,28665,0,[]
205,17,34,57,55,48,53,58,58,59,59,8,22,58,49,52,50,61,51,61,51,28712,1,28906,0,[]
206,9,30,62,62,49,52,62,60,58,61,10,24,63,52,60,52,61,51,61,52,28830,1,29011,0,[]
207,7,29,62,62,56,57,61,62,61,60,9,20,65,56,64,59,66,55,65,56,29001,1,29084,0,[]
208,9,29,73,63,66,62,70,64,67,63,14,10,67,56,75,62,67,56,67,56,29080,1,29157,0,[]
209,10,31,80,65,79,65,73,65,72,66,66,59,72,64,82,66,69,63,69,63,29159,1,29762,0,[]
210,74,68,74,65,73,67,74,67,77,71,71,66,76,70,83,67,75,74,75,70,29206,1,30299,0,"['17:27 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGJinjiao(«Ÿ…™œ…≈Æ)', '17:30 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGXinMo(…Ó∫£Ã©Ãπ)']"
211,66,64,62,63,64,63,74,67,77,71,67,65,69,67,73,63,69,66,69,66,29263,1,30806,0,['17:35 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
212,66,64,58,73,51,56,74,67,77,71,56,59,59,74,71,63,56,58,56,58,29312,1,31347,0,[]
213,66,64,60,82,48,55,74,67,77,71,47,52,57,77,81,56,50,51,50,51,29369,1,31600,0,['17:43 EDGiBoy(∞µ“π¡‘ ÷) ª˜…±¡À BLGKuro(ªƒƒÆÕ¿∑Ú)']
214,66,64,54,88,48,55,74,67,77,71,38,42,62,68,90,58,46,54,45,54,29417,1,31822,0,[]
215,66,64,55,85,48,55,74,67,77,71,28,33,65,70,88,68,44,52,44,52,29568,1,31930,0,[]
216,66,64,55,85,48,55,74,67,6,95,19,24,66,70,83,80,44,55,44,55,29643,1,32031,0,[]
217,66,64,55,83,48,55,13,88,17,86,15,16,64,71,77,88,47,50,42,53,29735,1,32215,0,[]
218,66,64,52,88,48,55,20,77,27,75,12,21,64,71,81,90,50,50,51,56,29786,1,32334,0,[]
219,4,91,64,90,48,55,32,67,35,63,9,29,66,69,87,85,59,58,57,61,29860,1,32486,0,[]
220,5,80,72,91,48,55,43,57,44,55,9,31,69,66,87,85,67,64,56,67,29982,1,32567,0,['18:19 EDG ª˜…±¡ÀÕ¡¡˙']
221,6,68,71,93,9,92,48,51,47,51,8,32,66,56,92,9,64,57,64,57,30120,1,33119,0,[]
222,6,57,71,93,21,90,46,50,48,49,7,30,64,53,81,20,65,53,68,54,30228,1,33344,1,['18:28 EDGJinoo(–…∫Ï ’∏Ó’ﬂ) ª˜∆∆¡À∑¿”˘À˛']
223,6,45,4,93,33,89,49,48,48,49,10,25,64,53,71,30,65,53,68,54,30502,1,33398,1,[]
