,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
165,14,18,43,69,39,60,80,85,57,64,18,14,47,17,43,52,88,78,39,43,0,0,0,0,[]
166,10,24,55,64,41,59,84,82,68,64,15,16,40,25,50,50,90,75,42,44,0,0,0,0,[]
167,8,27,67,63,41,57,89,74,78,62,18,24,34,30,50,50,94,66,55,46,0,0,0,0,[]
168,9,25,77,62,45,54,88,74,79,67,11,25,31,31,51,49,91,59,64,53,0,0,0,0,[]
169,8,33,64,62,47,54,87,79,83,78,10,25,33,31,62,52,91,61,72,50,0,0,0,0,[]
170,8,33,64,58,49,52,90,76,87,76,11,22,33,31,56,46,88,60,79,55,0,0,0,0,[]
171,8,31,57,55,52,50,92,74,87,75,10,27,33,31,51,42,81,55,82,56,0,0,0,0,[]
172,7,28,55,56,49,53,91,73,82,78,17,23,32,32,53,47,84,52,77,50,0,0,0,0,[]
173,9,34,47,64,50,52,89,67,88,68,18,23,38,37,53,44,91,58,67,52,0,1,0,0,"['14:21 VGPuff(³Í½äÖ®¼ý) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
174,17,33,47,64,45,55,90,65,89,63,14,21,42,46,49,48,93,58,56,49,0,1,0,0,[]
175,10,31,49,60,43,58,80,65,81,66,11,24,46,54,45,55,90,55,46,55,0,1,0,0,[]
176,8,31,47,54,46,55,69,61,70,62,11,24,48,48,45,50,79,50,48,52,0,1,0,0,['14:39 VGJay(Äº¹âÐÇÁé) »÷É±ÁË BLGXinMo(¸¥À×¶û×¿µÂÖ®ÐÄ)']
177,8,29,48,42,47,50,55,51,55,51,11,25,48,39,54,42,89,53,48,52,0,1,0,0,[]
178,7,32,43,34,46,36,53,43,52,43,10,28,43,32,59,39,91,55,48,52,0,1,0,0,[]
179,8,29,41,31,48,40,52,46,50,40,14,21,40,30,61,41,90,53,48,52,0,1,0,0,['14:52 VGAix(ÁÝ¶¬Ö®Å­) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ)']
180,12,23,47,37,50,44,52,46,52,46,25,24,40,30,60,41,90,57,48,52,0,1,0,0,[]
181,20,23,55,43,49,47,56,46,58,44,31,34,40,30,66,41,82,51,90,12,0,1,0,0,[]
182,26,29,44,38,45,54,56,46,57,43,41,33,40,30,65,39,70,50,82,20,0,1,0,0,[]
183,19,20,43,44,45,54,52,48,50,47,41,32,40,30,62,39,59,51,73,28,0,1,0,0,[]
184,15,10,42,46,3,96,47,53,48,49,36,24,40,30,62,39,57,45,63,37,0,1,0,0,[]
185,15,10,2,96,7,92,46,52,45,54,28,15,90,8,92,6,54,47,54,45,0,1,0,0,[]
186,3,93,8,85,20,90,46,53,45,53,21,9,82,18,89,15,53,50,51,50,0,1,0,0,[]
187,4,81,17,77,32,89,45,52,47,53,14,15,73,29,83,27,51,48,51,49,0,1,0,0,[]
188,6,66,28,71,43,88,44,53,44,56,14,17,66,41,80,39,51,51,54,50,0,1,0,0,[]
189,7,53,39,67,53,86,44,52,45,56,13,16,66,55,77,51,59,45,57,59,0,1,0,0,[]
190,7,40,51,65,50,80,48,58,49,59,13,16,67,62,76,60,59,45,63,62,0,1,0,0,[]
191,8,27,57,64,58,73,53,55,55,56,90,9,66,61,80,66,95,4,63,59,0,1,0,0,[]
192,13,22,55,53,57,59,52,52,52,53,84,19,64,51,88,71,95,4,62,50,0,1,0,0,[]
193,18,14,57,49,57,48,53,49,53,49,74,27,61,42,84,80,57,43,59,45,0,1,0,0,[]
194,19,18,59,49,54,51,54,45,56,47,63,35,73,44,82,82,59,41,65,37,0,1,0,0,[]
195,25,28,49,54,54,55,51,48,50,48,58,43,76,46,75,72,57,41,68,34,0,1,0,0,[]
196,27,16,51,63,58,69,51,47,49,50,53,32,78,50,68,65,60,42,95,4,0,1,0,0,[]
197,27,8,51,75,63,77,47,50,48,51,43,32,78,50,65,67,56,44,91,11,0,1,0,0,[]
198,22,11,54,77,69,81,46,50,47,53,35,24,89,14,71,66,54,46,83,20,0,1,0,0,[]
199,18,14,60,74,75,88,46,50,47,51,30,20,75,17,77,69,54,47,71,30,0,1,0,0,[]
200,18,14,72,76,82,88,48,56,48,56,26,16,63,23,82,80,55,46,61,40,0,1,0,0,[]
201,12,21,78,73,86,81,57,62,56,63,18,13,54,32,88,70,55,51,52,48,0,1,0,0,[]
202,11,30,75,62,78,75,60,61,62,62,18,17,49,34,90,58,57,56,55,56,0,1,0,0,[]
203,16,41,73,63,72,65,56,60,55,58,12,16,51,46,92,62,55,51,54,51,0,1,0,0,[]
204,21,45,65,56,67,60,58,59,56,58,10,25,54,47,88,57,52,49,56,49,0,1,0,0,[]
205,14,36,55,52,63,52,52,53,49,54,11,25,48,43,78,50,51,46,52,46,0,1,0,0,[]
206,8,30,52,51,55,50,49,51,53,51,9,27,46,40,66,48,55,42,55,43,0,1,0,0,[]
207,7,30,53,54,52,52,48,54,52,52,10,26,49,47,58,50,56,48,57,48,0,1,0,0,[]
208,9,28,45,55,42,60,42,56,42,58,11,27,44,51,49,54,50,55,49,54,0,1,0,0,[]
209,7,36,44,57,38,66,39,60,33,66,13,23,45,53,47,57,48,55,46,57,0,1,0,0,['17:23 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË VGAix(ÁÝ¶¬Ö®Å­)']
210,11,44,44,57,27,69,36,60,33,66,11,23,48,54,45,57,46,54,45,55,0,1,0,0,[]
211,9,31,44,57,27,69,32,64,3,96,11,24,58,60,42,57,43,56,40,57,0,1,0,0,[]
212,8,24,44,57,4,96,33,64,7,94,12,24,67,68,50,62,45,57,41,58,0,1,0,1,['17:40 BLG »÷ÆÆÁË·ÀÓùËþ']
213,9,22,44,57,5,96,32,64,15,85,11,22,66,71,49,65,51,61,53,60,0,1,0,1,[]
214,8,21,44,57,18,95,30,65,25,76,9,22,67,71,54,66,63,64,64,64,0,1,0,1,[]
215,8,32,44,57,31,93,30,65,33,66,13,17,67,69,59,63,66,65,67,65,0,1,0,1,[]
216,7,33,6,88,44,92,7,93,39,61,8,18,73,63,70,68,66,55,67,65,0,1,0,1,['17:56 BLG »÷É±ÁË»ðÁú']
217,7,33,12,77,57,90,16,87,33,61,10,21,81,56,80,76,66,55,92,10,0,1,0,1,[]
218,8,30,18,65,70,88,25,78,39,61,9,23,80,55,84,82,92,6,83,20,0,1,0,1,[]
219,8,26,24,57,78,86,33,69,46,53,8,19,76,59,87,73,83,16,73,28,0,1,0,1,[]
220,8,30,30,60,72,86,42,60,44,56,8,19,71,64,87,73,76,24,62,38,0,1,0,1,[]
221,8,30,41,58,68,80,50,55,44,51,8,19,78,55,93,5,68,33,57,45,0,1,0,1,[]
222,13,95,52,63,63,76,50,50,49,49,8,19,80,50,83,16,59,41,55,43,0,1,0,1,[]
223,26,93,64,62,55,66,45,54,42,52,9,25,80,50,67,36,53,44,53,48,0,1,0,1,[]
224,39,92,70,65,45,57,44,55,32,46,10,24,90,13,66,53,52,32,52,47,0,1,0,1,[]
225,52,90,72,70,35,49,44,54,33,44,8,28,84,26,69,66,53,29,51,50,0,1,0,1,[]
226,65,89,66,82,22,46,41,58,34,48,10,14,78,40,78,75,52,35,59,50,0,1,0,1,[]
227,69,91,55,83,14,36,46,54,45,51,10,14,74,44,75,78,54,46,49,42,0,1,0,1,[]
228,74,91,53,84,10,30,45,54,45,54,95,4,73,48,73,85,50,47,52,50,0,1,0,1,[]
229,67,90,47,75,10,24,40,57,42,59,87,9,74,59,76,88,49,50,53,51,0,1,0,1,[]
230,60,90,39,65,12,16,43,56,47,51,74,10,76,69,71,88,56,55,56,60,0,1,0,1,[]
231,54,87,43,54,21,23,43,55,45,55,60,10,71,78,68,89,54,56,62,59,0,1,0,1,[]
232,55,88,47,48,30,33,44,51,45,46,47,9,61,74,69,89,55,49,61,50,0,1,0,1,[]
233,54,86,45,42,42,37,45,50,44,48,34,8,59,62,68,90,54,49,54,47,0,1,0,1,[]
234,58,85,48,40,48,42,46,50,44,50,20,12,57,64,74,89,58,47,58,44,0,1,0,2,['19:27 BLGKuro(Ó¢ÓÂÍ¶µ¯ÊÖ) »÷ÆÆÁË·ÀÓùËþ']
235,64,91,50,48,49,46,49,48,48,48,12,19,62,77,77,87,60,42,56,41,0,1,0,2,[]
236,68,91,55,51,54,45,56,46,54,43,13,20,70,79,76,87,62,38,62,37,0,1,0,2,[]
237,61,92,49,52,48,48,48,51,47,47,9,25,61,77,69,78,61,37,61,40,0,2,0,2,['19:41 VGPuff(³Í½äÖ®¼ý) »÷ÆÆÁË·ÀÓùËþ']
