,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
198,47,37,48,35,52,45,87,76,66,55,95,4,66,49,55,41,94,8,67,52,0,1,0,0,[]
199,52,44,53,34,53,45,85,78,65,56,86,10,64,40,58,40,92,13,66,44,0,1,0,0,['16:33 FPXGimGoon(解脱者) 击杀了 LGDYuuki(天启者)']
200,57,43,59,35,58,46,85,77,66,47,80,21,64,34,58,40,82,22,65,37,0,2,0,0,['16:40 FPXGimGoon(解脱者) 击破了防御塔']
201,46,38,52,28,67,50,89,72,70,48,70,29,65,34,58,40,71,30,66,36,0,2,0,0,[]
202,41,39,48,19,66,44,91,66,72,49,66,35,58,33,58,40,61,37,61,39,0,2,0,0,[]
203,45,43,53,29,58,48,91,66,66,47,65,40,55,31,58,40,58,40,58,40,0,2,0,0,[]
204,47,36,53,33,55,45,92,66,66,46,63,35,64,31,58,40,59,33,62,35,0,3,0,0,['16:58 FPX 击破了防御塔']
205,52,35,52,32,49,39,90,71,65,46,65,35,65,35,58,40,62,36,64,31,0,3,0,0,[]
206,40,31,50,32,51,35,90,71,66,47,77,35,72,33,86,9,62,35,61,39,0,3,0,0,[]
207,32,21,55,32,53,37,2,96,66,49,87,40,72,33,79,20,63,40,59,39,0,3,0,0,[]
208,21,13,53,31,55,33,14,90,65,41,90,45,91,6,70,29,63,32,61,34,0,3,0,0,['17:19 FPXTian(狂战士) 击杀了 LGDPyl(光辉女郎)']
209,27,11,48,35,48,39,23,80,57,42,89,49,82,15,68,33,66,31,61,34,0,3,0,0,[]
210,33,8,51,24,54,45,32,74,56,42,87,38,74,27,66,23,66,34,61,34,0,3,0,0,[]
211,43,11,52,21,56,55,42,69,51,41,75,32,63,22,61,12,65,34,61,34,0,3,0,0,[]
212,46,15,52,21,66,64,49,65,51,41,69,22,62,16,52,9,66,33,61,34,0,3,0,0,[]
213,46,15,3,97,68,66,50,60,4,95,69,30,66,29,49,6,66,37,61,34,0,3,0,0,[]
214,5,92,7,95,72,66,52,48,14,81,66,39,69,40,49,7,67,40,90,7,0,3,0,0,[]
215,13,80,18,94,75,63,52,49,26,71,67,42,62,35,46,6,60,38,82,16,0,3,0,0,[]
216,17,68,31,93,80,76,50,46,38,63,59,34,56,30,48,6,59,35,75,26,0,3,0,0,[]
217,18,54,44,91,87,76,56,46,49,53,59,33,56,32,48,6,63,36,66,33,0,3,0,0,[]
218,22,41,54,85,86,76,54,46,51,48,72,34,55,32,89,14,60,34,63,40,0,3,0,0,[]
219,22,29,55,84,86,76,51,47,54,47,84,37,57,33,79,24,60,34,67,45,0,3,0,0,[]
220,20,17,57,83,9,94,52,48,55,47,89,46,55,32,67,30,94,4,64,37,0,3,0,0,[]
221,28,12,68,81,25,93,53,47,54,47,89,50,55,32,60,37,84,13,58,38,0,3,0,0,[]
222,31,9,72,70,40,91,51,48,57,48,81,51,85,9,58,34,75,22,60,40,0,3,0,0,[]
223,32,8,66,58,56,91,60,43,61,50,81,46,75,20,57,29,66,32,64,38,0,3,0,0,[]
224,38,15,67,45,71,88,56,44,51,41,76,35,64,25,57,15,60,35,60,36,0,3,0,0,[]
225,42,15,65,46,83,81,53,47,49,34,64,36,55,31,52,9,59,39,56,42,0,3,0,0,[]
226,49,19,62,39,87,70,57,41,51,32,60,36,56,32,57,20,60,34,60,35,0,3,0,0,[]
227,49,23,57,45,90,60,55,45,54,30,66,36,60,34,66,29,58,33,68,30,0,3,0,0,[]
228,46,24,58,42,88,55,56,42,47,24,77,35,56,33,61,33,58,35,70,27,0,3,0,0,[]
229,45,23,59,48,75,49,51,43,43,24,88,40,54,30,58,31,60,36,70,27,0,3,0,0,[]
230,42,19,69,48,75,44,56,45,44,32,93,45,54,32,57,23,57,31,92,5,0,3,0,0,[]
231,37,9,65,41,87,52,59,38,55,32,86,38,59,29,57,20,63,32,89,6,0,3,0,0,[]
232,46,13,63,40,91,49,60,41,55,32,88,42,66,30,53,9,66,36,80,15,0,3,0,0,[]
233,45,11,65,50,87,53,59,47,61,38,88,45,67,43,49,7,66,47,75,26,0,3,0,0,[]
234,49,20,66,51,73,49,64,52,67,46,86,37,67,51,57,10,66,49,68,36,0,3,0,0,"['19:27 FPXLwx(圣枪游侠) 击杀了 LGDKramer(战争女神)', '19:30 FPXLwx(圣枪游侠) 击杀了 LGDRD(巨魔之王)']"
