,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
165,8,43,31,53,31,57,85,87,31,52,66,63,63,63,62,62,49,54,62,62,21739,1,26279,2,[]
166,7,35,26,50,32,46,85,87,22,50,75,67,69,62,72,64,50,50,55,54,21922,1,26326,2,[]
167,12,23,34,43,32,48,4,95,22,40,81,77,66,65,69,66,47,54,48,52,21973,1,26490,2,[]
168,21,14,39,44,31,58,11,91,16,34,86,76,66,67,67,65,47,55,51,53,22057,1,26690,2,[]
169,28,11,41,44,37,58,20,82,21,37,80,86,74,60,66,64,42,55,46,55,22246,1,26773,2,['14:1 FPX »÷É±ÁË·çÁú']
170,27,13,42,46,38,59,28,73,32,40,80,85,84,56,95,4,48,52,43,56,22348,1,26917,2,[]
171,27,13,35,43,40,57,36,64,43,44,80,82,82,55,82,5,58,50,55,50,22416,1,27055,2,[]
172,12,95,27,51,42,58,44,55,45,52,80,82,74,44,71,6,58,50,58,50,22467,1,27107,2,[]
173,25,94,20,52,41,52,47,51,48,49,88,7,73,42,57,8,95,4,94,5,22639,1,27281,2,[]
174,38,93,15,44,49,48,47,50,48,49,81,19,73,42,46,8,93,7,93,7,22908,1,27374,2,[]
175,50,91,15,42,40,51,46,55,47,55,72,29,95,4,42,16,92,9,92,9,23088,1,27485,2,[]
176,61,91,16,44,32,43,54,61,56,61,66,40,85,10,39,15,57,41,57,41,23212,1,27746,2,[]
177,70,89,16,44,36,41,51,65,60,62,73,52,71,17,31,16,52,44,54,46,23399,1,27858,2,[]
178,73,88,11,93,28,50,49,61,53,60,75,62,59,26,23,13,54,44,55,45,23540,1,28079,2,[]
179,78,80,23,90,21,50,42,59,51,59,87,65,52,35,18,15,54,44,58,48,23591,1,28242,2,[]
180,79,75,35,89,35,49,43,57,50,58,88,76,45,37,12,24,50,49,53,45,23644,1,28423,2,[]
181,85,78,48,88,23,50,44,55,45,54,90,72,40,42,9,28,55,53,55,53,23961,1,28586,2,[]
