,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
209,92,48,89,46,28,22,58,43,58,43,92,14,26,52,92,12,66,33,73,34,0,2,0,1,[]
210,91,49,90,47,6,82,60,49,60,49,92,27,34,43,87,26,60,39,64,40,0,2,0,1,[]
211,80,50,78,52,10,67,71,50,71,50,91,42,44,48,89,36,62,36,65,36,0,3,0,1,['17:31 TES »÷ÆÆÁË·ÀÓùËþ']
212,76,46,77,49,11,51,70,48,74,48,90,51,54,56,89,45,67,33,78,37,0,3,0,1,[]
213,66,53,66,54,26,50,60,50,59,50,90,57,57,56,84,52,65,33,79,38,0,3,0,1,[]
214,61,51,54,54,32,49,54,53,54,53,91,63,54,53,79,50,64,36,76,49,0,3,0,1,['17:49 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË LNGSofM(Ã¤É®)']
215,65,53,54,43,16,49,54,45,54,42,90,58,54,53,71,41,64,36,80,47,0,3,0,1,[]
216,70,65,63,40,7,39,59,39,63,40,82,50,54,53,70,34,69,30,75,35,0,3,0,1,[]
217,80,75,67,35,10,31,61,34,67,35,74,42,54,53,67,27,70,30,67,31,0,3,0,1,[]
218,86,80,54,31,12,23,53,41,54,31,68,45,54,53,66,33,69,32,68,35,0,4,0,1,['18:7 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
219,79,76,47,25,13,20,49,47,50,24,76,49,54,53,70,41,72,33,66,47,0,4,0,1,[]
220,79,76,44,23,25,10,51,47,44,23,87,54,54,53,70,40,72,33,66,47,0,4,0,1,[]
221,8,95,38,17,28,9,51,47,38,17,90,59,90,5,66,33,94,4,95,5,0,4,0,1,[]
222,22,93,31,8,30,8,50,46,28,11,87,70,81,13,60,40,91,7,81,6,0,4,0,1,[]
223,35,92,23,7,27,9,40,44,23,7,83,81,70,19,62,37,80,9,71,15,0,5,0,1,['18:32 TESBen(Ä§·¨Ã¨ßä) »÷ÆÆÁË·ÀÓùËþ']
224,49,91,23,7,21,9,40,44,23,7,81,84,60,25,65,35,65,7,60,25,0,5,0,1,[]
225,63,89,8,95,21,9,2,96,3,96,81,88,51,32,63,34,55,8,51,32,0,5,0,1,[]
226,75,90,20,89,7,95,2,96,2,96,75,90,41,37,63,34,51,7,40,37,0,5,0,1,[]
227,76,91,31,80,23,93,44,49,44,49,81,90,43,44,92,5,48,6,33,44,0,5,0,1,[]
