,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
235,89,74,34,77,88,78,47,51,48,80,11,22,80,43,93,65,54,48,78,19,0,1,0,2,[]
236,89,73,46,68,89,74,53,61,58,71,10,23,87,53,95,5,54,44,78,28,0,1,0,2,[]
237,91,70,59,62,89,68,64,63,60,59,7,29,80,52,91,5,55,44,76,33,0,1,0,2,[]
238,84,64,59,58,84,63,61,62,63,57,7,31,77,46,76,12,58,41,65,33,0,2,0,2,[]
239,90,54,68,60,89,58,52,53,72,49,7,31,70,41,61,23,58,41,53,32,0,2,0,3,[]
240,77,50,67,61,79,63,52,50,66,53,7,35,60,35,47,33,95,4,43,39,0,2,0,3,[]
241,64,50,65,65,67,63,52,52,57,55,8,36,46,33,32,37,55,43,33,37,0,2,0,3,[]
242,51,53,67,66,67,66,45,50,45,52,19,34,35,36,30,32,52,45,32,34,0,2,0,3,[]
243,41,53,67,70,65,67,42,58,39,54,32,31,32,34,30,33,50,47,32,34,0,2,0,3,[]
244,32,46,66,65,62,62,39,55,33,47,31,31,31,33,29,38,46,49,29,38,0,2,0,3,[]
245,28,50,54,61,51,56,39,53,31,50,25,37,29,36,32,42,48,48,32,42,0,2,0,3,[]
246,15,50,41,59,51,61,43,57,31,53,29,35,28,35,30,38,45,50,40,44,0,2,0,3,[]
247,14,48,29,59,43,67,40,59,19,49,27,31,23,37,18,34,43,48,44,51,0,2,0,3,[]
248,11,39,22,55,33,61,31,60,22,48,27,31,23,38,13,35,47,36,44,47,0,2,0,3,[]
249,6,37,18,45,23,55,22,53,22,47,94,13,24,35,11,29,51,31,43,38,0,2,0,3,[]
