,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
208,6,51,48,74,86,76,5,95,49,58,90,59,54,32,29,9,54,29,93,5,0,1,0,1,['17:20 BLG »÷ÆÆÁË·ÀÓùËþ']
209,7,38,39,65,82,78,13,90,10,92,90,64,55,32,95,4,59,36,84,14,0,1,0,1,[]
210,9,30,31,57,82,78,20,83,20,84,84,60,53,36,90,5,52,46,76,24,0,1,0,1,[]
211,19,34,32,44,4,92,28,74,27,73,83,61,55,32,77,6,49,48,67,34,0,1,0,1,[]
212,27,34,38,43,6,82,36,66,35,63,85,65,55,41,65,7,47,41,57,42,0,1,0,1,[]
213,32,39,29,51,7,69,42,58,40,55,86,76,45,35,52,8,50,46,46,41,0,1,0,1,[]
214,39,50,21,53,8,56,49,53,45,53,83,83,42,26,40,10,53,44,52,47,0,1,0,1,[]
215,48,55,20,49,8,43,50,54,44,55,86,77,43,17,29,11,52,47,55,48,0,1,0,1,[]
216,48,50,18,45,10,30,49,54,34,48,86,77,41,16,18,15,53,46,54,47,0,1,0,1,[]
217,52,60,22,42,12,19,48,53,32,38,93,7,40,15,23,9,53,45,53,48,0,1,0,1,[]
218,62,60,27,35,15,18,51,49,36,28,86,19,37,15,22,12,59,39,56,44,0,1,0,1,[]
219,62,62,20,26,24,11,51,50,26,29,76,27,35,11,28,6,59,39,59,37,0,1,0,1,[]
220,76,62,22,25,21,12,48,51,29,19,67,37,28,10,29,8,89,7,58,40,0,1,0,1,[]
221,75,73,28,22,24,13,50,50,26,30,67,49,40,9,37,8,81,16,59,42,0,1,0,1,[]
222,70,85,29,21,21,12,51,50,37,36,61,60,48,19,37,13,75,26,57,46,0,1,0,1,[]
223,77,86,29,21,19,12,46,52,41,40,55,56,52,32,40,15,65,35,56,45,0,1,0,1,[]
224,82,84,30,19,21,11,47,63,43,42,57,55,56,35,48,18,58,43,57,45,0,1,0,1,[]
225,79,78,27,10,25,10,42,68,34,42,54,54,50,34,53,28,50,48,50,46,0,1,0,1,[]
226,71,67,27,19,27,13,40,59,32,49,47,52,41,39,46,37,44,48,38,42,0,1,0,1,[]
