,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
236,51,94,29,50,18,53,44,54,44,53,89,43,77,48,47,9,57,38,52,48,0,1,0,2,[]
237,51,94,32,45,23,38,46,51,46,51,88,57,79,53,46,12,54,44,50,42,0,1,0,2,[]
238,12,90,34,38,27,24,45,50,42,41,87,72,75,50,55,21,59,36,54,47,0,1,0,2,[]
239,24,89,34,38,35,16,49,49,39,31,79,83,59,49,59,35,53,29,58,43,0,1,0,2,[]
240,40,90,34,38,35,16,45,50,46,24,68,90,53,46,53,47,58,34,52,49,0,1,0,2,[]
241,53,92,30,36,24,9,44,53,41,28,67,90,49,41,50,45,53,43,52,48,0,1,0,2,[]
242,67,92,35,36,24,14,38,51,37,39,75,88,41,32,42,34,45,37,43,44,0,1,0,2,[]
243,60,90,34,31,36,17,38,50,39,37,67,79,46,24,45,23,48,39,41,45,0,1,0,2,[]
244,58,91,36,29,39,14,45,54,41,37,58,69,49,34,56,16,48,42,42,44,0,1,0,2,[]
245,52,85,36,29,30,21,41,52,35,42,58,70,44,35,49,8,50,49,43,45,0,1,0,2,[]
246,48,75,8,93,26,32,38,56,34,48,56,68,46,40,54,10,47,53,44,48,0,1,0,2,[]
247,44,67,19,85,25,46,38,61,32,53,54,62,47,52,57,24,44,54,42,54,0,1,0,3,[]
248,49,65,31,80,23,43,39,60,38,59,54,67,51,64,58,39,52,61,50,61,0,1,0,3,[]
249,49,65,40,72,22,43,38,66,39,65,47,73,48,66,48,50,49,60,45,67,0,1,0,3,[]
250,49,65,35,66,26,48,36,66,36,66,46,71,47,69,41,58,39,58,45,67,0,1,0,3,[]
