,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
156,85,78,47,33,48,49,43,24,41,29,89,78,54,31,56,43,42,11,42,11,0,0,0,0,[]
157,87,83,41,28,50,46,42,25,41,32,89,75,49,25,57,42,48,19,48,19,0,0,0,0,[]
158,83,84,41,27,44,35,37,24,40,33,88,80,45,23,58,42,42,17,42,17,0,0,0,0,[]
159,83,83,40,36,38,37,26,22,32,34,88,80,42,26,58,43,35,14,35,14,0,0,0,0,[]
160,83,80,27,37,31,46,19,15,22,26,90,77,40,30,55,55,25,10,25,10,0,0,0,0,[]
161,79,78,23,42,22,50,17,17,17,20,89,75,30,21,56,56,21,11,21,10,0,0,0,0,[]
162,67,66,24,33,31,49,14,14,17,19,88,77,33,23,51,49,23,11,23,11,0,0,0,0,[]
163,63,62,35,38,45,51,14,17,20,21,89,80,36,25,56,43,19,10,19,10,0,0,0,0,[]
164,75,74,41,31,50,47,18,15,19,17,84,83,41,26,59,38,21,9,21,9,0,0,0,0,[]
165,82,83,44,23,47,35,19,16,22,21,88,82,43,19,59,35,26,10,26,10,0,0,0,0,[]
166,78,87,41,31,47,35,25,26,26,24,84,82,47,17,53,32,30,10,30,10,0,0,0,0,[]
167,80,83,34,38,47,40,30,34,27,32,90,81,45,24,50,32,33,11,33,11,0,0,0,0,[]
168,84,81,28,33,47,48,26,33,27,33,90,81,40,32,46,39,34,17,34,17,0,0,0,0,[]
169,83,83,30,32,45,51,25,32,25,35,95,5,36,36,42,39,35,24,35,24,0,0,0,0,[]
170,84,83,23,40,34,49,21,39,23,41,94,10,34,38,39,41,42,34,42,34,0,0,0,0,[]
171,85,82,24,47,23,51,19,34,19,37,92,23,38,43,44,45,50,41,50,41,0,0,0,0,[]
172,86,77,19,45,28,52,16,19,20,36,92,40,49,50,53,50,58,43,58,42,0,0,0,0,[]
173,77,85,14,43,33,59,16,17,3,96,91,70,57,60,56,61,52,51,55,52,0,0,0,0,[]
174,60,85,19,44,44,55,19,17,8,84,83,79,62,63,50,65,52,50,55,62,0,0,0,0,[]
175,60,84,25,37,45,54,19,12,14,73,78,88,57,69,49,66,53,50,57,72,0,0,0,0,[]
176,65,83,32,28,44,54,19,11,17,61,76,88,53,76,50,65,51,52,56,76,0,0,0,0,[]
177,62,86,30,33,40,50,22,12,20,49,74,88,52,76,58,63,59,50,59,76,0,0,0,0,[]
178,68,91,28,32,31,46,27,10,25,38,71,93,59,84,67,63,59,50,59,84,0,0,0,0,[]
179,67,94,26,32,41,45,30,9,30,36,67,91,68,94,69,65,95,4,68,94,0,0,0,0,['14:55 JDGFlawless(德玛西亚皇子) 击杀了 VGChelizi(德玛西亚之翼)']
180,67,94,28,33,47,49,30,8,25,28,67,92,71,91,68,55,95,4,68,89,0,0,0,0,[]
181,67,94,28,33,45,45,25,8,25,28,69,91,71,92,76,53,60,43,71,89,0,0,0,0,[]
182,67,94,27,32,43,44,26,9,29,19,70,91,71,91,78,51,58,46,71,89,0,1,0,0,"['15:9 VGPuff(圣枪游侠) 击破了防御塔,获得一塔']"
183,67,94,30,32,2,96,27,10,39,28,67,91,70,85,78,49,57,45,69,85,0,1,0,0,[]
184,67,94,7,94,9,93,27,10,42,37,60,92,65,73,77,48,57,50,67,78,0,1,0,1,['15:16 JDG 击破了防御塔']
185,67,94,18,89,21,86,2,96,44,49,54,91,67,72,93,4,56,48,68,70,0,1,0,1,[]
186,67,94,29,83,32,80,46,51,47,54,55,91,67,70,83,4,57,45,67,61,0,1,0,1,[]
187,22,95,39,76,42,70,47,50,50,55,59,90,66,69,71,7,56,46,63,52,0,1,0,1,[]
188,42,93,55,76,55,64,49,55,56,57,68,82,66,70,59,7,53,50,53,50,0,1,0,1,['15:40 JDG 击杀了水龙']
189,54,91,57,65,62,61,54,53,60,58,77,73,73,62,46,7,55,45,55,45,0,1,0,1,[]
190,53,91,55,58,65,51,52,48,55,53,77,73,77,48,39,8,60,42,60,42,0,1,0,1,[]
191,57,93,65,57,66,45,51,46,56,49,92,7,73,42,32,11,59,40,58,40,0,1,0,1,[]
192,59,92,71,49,65,50,56,44,54,51,91,18,72,40,19,14,60,36,60,36,0,2,0,1,['16:0 VG 击破了防御塔']
193,71,78,66,44,61,50,48,50,53,53,91,30,61,40,12,20,61,35,61,40,0,2,0,1,[]
194,77,78,66,54,46,45,46,50,50,51,90,43,59,35,18,20,58,35,57,35,0,2,0,1,[]
195,78,80,57,61,33,40,48,51,49,54,87,53,50,32,23,30,54,32,57,35,0,2,0,1,[]
196,77,87,45,58,20,37,49,51,49,54,90,63,46,35,17,34,51,33,91,6,0,2,0,1,[]
197,83,80,32,59,21,39,39,50,40,51,89,66,34,39,19,35,46,37,85,9,0,2,0,1,[]
198,86,76,28,51,16,39,33,43,32,45,91,74,38,37,20,26,51,46,76,16,0,2,0,1,[]
199,84,81,24,55,10,28,40,51,40,52,89,74,49,34,10,21,49,48,70,25,0,2,0,1,[]
200,86,83,24,55,8,23,46,53,51,56,86,78,52,33,14,21,52,45,64,34,0,2,0,1,[]
201,87,79,22,44,8,24,45,54,54,57,87,75,48,22,13,21,55,43,55,43,0,2,0,1,[]
202,88,76,18,34,9,25,42,56,2,96,90,68,42,17,14,19,61,41,64,41,0,2,0,1,[]
203,90,74,11,32,9,20,48,53,13,91,91,68,40,16,23,13,59,42,66,46,0,2,0,1,[]
204,88,77,8,20,16,13,50,52,21,82,89,72,39,14,30,11,53,44,62,41,0,2,0,1,[]
205,82,85,12,13,18,11,43,55,34,78,89,76,39,15,26,9,54,45,54,45,0,2,0,1,[]
206,84,84,12,13,17,13,45,53,45,79,89,82,39,15,26,10,54,44,54,44,0,2,0,1,[]
207,78,86,16,21,19,24,47,53,57,76,86,81,87,8,27,10,58,34,58,34,0,2,0,1,[]
208,74,87,24,30,27,35,48,53,57,65,88,78,73,17,29,9,47,36,47,36,0,2,0,1,[]
209,62,87,30,36,29,34,51,50,52,55,85,66,62,24,30,20,45,37,45,37,0,2,0,1,[]
210,56,85,22,41,23,34,50,51,47,51,79,71,51,32,21,24,47,36,47,36,0,2,0,1,[]
211,53,85,15,43,23,37,47,49,46,50,79,75,47,41,20,26,50,41,50,41,0,2,0,1,[]
212,55,85,15,43,12,34,41,45,44,50,84,83,43,39,15,17,53,41,55,42,0,2,0,1,[]
213,63,83,21,50,9,26,47,53,42,51,84,83,47,39,25,14,54,42,54,42,0,2,0,1,[]
214,67,89,31,56,6,28,46,53,40,50,77,79,40,42,34,23,47,40,47,40,0,2,0,1,[]
215,65,92,39,65,13,34,48,52,38,50,70,83,32,46,41,34,41,42,41,42,0,2,0,1,[]
216,63,91,46,65,23,36,50,51,38,51,69,91,34,43,45,46,44,45,39,42,0,2,0,1,[]
217,61,85,44,67,18,25,44,57,40,56,70,88,41,45,49,55,47,50,41,45,0,2,0,1,[]
218,65,88,34,61,16,16,43,56,39,50,74,87,46,45,51,43,50,45,46,45,0,2,0,1,[]
219,67,91,31,50,12,14,41,54,42,52,71,77,49,43,42,39,48,34,49,43,0,2,0,1,[]
220,67,90,32,45,11,13,41,55,41,51,74,74,49,43,49,43,52,28,49,43,0,2,0,1,[]
221,58,94,32,44,4,96,47,52,40,50,73,86,49,43,47,42,47,36,49,43,0,2,0,1,[]
222,52,94,32,44,14,95,45,53,3,96,70,91,49,43,49,34,52,47,52,47,0,2,0,1,[]
223,52,94,4,95,28,94,44,53,14,89,68,91,63,41,50,22,51,47,51,47,0,2,0,1,[]
224,2,96,15,90,42,93,46,53,22,80,70,90,73,42,42,15,53,45,53,45,0,2,0,1,[]
225,9,77,26,85,55,92,40,58,31,71,71,78,72,42,31,17,59,39,59,38,0,2,0,1,[]
226,17,60,32,75,54,91,40,58,38,61,72,77,67,49,24,10,53,45,58,39,0,2,0,1,[]
227,15,40,34,65,60,89,11,91,43,53,95,4,62,62,24,10,51,50,51,50,0,2,0,1,[]
228,8,27,46,67,72,88,22,81,44,54,82,5,58,63,94,8,47,49,47,49,0,2,0,1,[]
229,12,22,56,68,84,85,30,71,43,51,69,6,62,58,93,20,53,44,53,44,0,2,0,1,[]
230,11,19,57,67,85,84,38,62,44,54,56,8,64,57,91,33,58,39,58,39,0,2,0,1,[]
231,11,20,62,75,86,77,43,54,49,51,43,9,73,63,90,47,58,39,58,39,0,2,0,1,[]
232,24,30,73,76,88,74,50,46,55,48,31,9,78,61,91,60,92,6,94,8,0,3,0,1,['19:18 VGJay(万花通灵) 击破了防御塔']
233,40,43,75,67,89,64,52,47,57,54,27,12,82,55,90,59,90,7,85,12,0,3,0,1,[]
234,53,57,76,55,88,65,54,50,66,55,18,15,80,50,83,51,93,6,77,19,0,3,0,1,[]
235,71,49,76,45,90,59,66,56,75,47,12,19,75,40,79,40,85,12,69,29,0,3,0,1,[]
236,52,47,69,50,87,50,66,59,68,51,11,21,65,35,86,38,74,23,66,34,0,3,0,1,[]
237,33,40,62,58,79,50,64,62,66,56,11,25,64,38,90,50,64,31,64,31,0,3,0,1,[]
238,16,34,51,60,79,50,52,67,66,56,8,29,51,41,91,56,59,39,59,39,0,3,0,1,[]
239,7,31,39,58,4,84,46,69,12,90,11,24,37,38,91,55,52,45,52,45,0,3,0,1,[]
240,10,25,27,59,7,70,40,62,21,82,12,21,41,44,88,67,48,48,44,47,0,3,0,1,[]
